iter	RMSE
161	1.920230172
162	1.920014919
163	1.919827322
164	1.919700253
165	1.919297091
166	1.91912581
167	1.918415686
168	1.918328064
169	1.918218781
170	1.918126852
171	1.917685643
172	1.917196242
173	1.916928309
174	1.916594385
175	1.916169906
176	1.915984133
177	1.915871134
178	1.915367897
179	1.915184094
180	1.914885477
181	1.914641308
182	1.914617004
183	1.914520646
184	1.914349364
185	1.913851718
186	1.913560804
187	1.91316813
188	1.913005472
189	1.912696031
190	1.912671328
191	1.912263404
192	1.911958756
193	1.911557566
194	1.911187347
195	1.910951348
196	1.910388874
197	1.910180237
198	1.909655985
199	1.909104963
200	1.908563513
201	1.908334787
202	1.908074232
203	1.907818737
204	1.907617688
205	1.907374825
206	1.907069483
207	1.906537214
208	1.906180765
209	1.905646161
210	1.905582371
211	1.905126419
212	1.904889549
213	1.90445589
214	1.904299919
215	1.903991831
216	1.90389438
217	1.903563139
218	1.903138418
219	1.902921942
220	1.902647526
221	1.902408853
222	1.902089021
223	1.90195802
224	1.901903031
225	1.90162171
226	1.901331442
227	1.901075322
228	1.900529615
229	1.900315008
230	1.900263495
231	1.90004715
232	1.899999183
233	1.899788815
234	1.899571004
235	1.899220705
236	1.899175574
237	1.898908155
238	1.898517081
239	1.898280327
240	1.898092187
241	1.897939496
242	1.897465965
243	1.897424889
244	1.897313569
245	1.89695485
246	1.896755044
247	1.896573393
248	1.896173688
249	1.895930273
250	1.895886125
251	1.895628475
252	1.895189836
253	1.894729033
254	1.894351407
255	1.894084218
256	1.893857649
257	1.893610605
258	1.893374533
259	1.892864537
260	1.892474663
261	1.892254375
262	1.892245954
263	1.891944056
264	1.891580599
265	1.891268517
266	1.891230968
267	1.891023218
268	1.89070932
269	1.890335134
270	1.890307385
271	1.890105228
272	1.889936861
273	1.889845138
274	1.889402501
275	1.889268972
276	1.889233548
277	1.888971239
278	1.888684878
279	1.888181222
280	1.887904893
281	1.887600421
282	1.887235009
283	1.886964301
284	1.886785687
285	1.886489681
286	1.886429495
287	1.886299424
288	1.885868161
289	1.885680555
290	1.885317003
291	1.885117628
292	1.884753323
293	1.884356426
294	1.883899592
295	1.883867189
296	1.88361985
297	1.883361416
298	1.883011567
299	1.882785457
300	1.88253547
301	1.882143425
302	1.881794362
303	1.881556143
304	1.881323755
305	1.881110538
306	1.881055083
307	1.880816595
308	1.880689156
309	1.880387349
310	1.88014054
311	1.879668972
312	1.879496778
313	1.879320777
314	1.87929145
315	1.879039308
316	1.87879594
317	1.878474939
318	1.878325653
319	1.878140007
320	1.878024546
321	1.877790372
322	1.877380727
323	1.877081099
324	1.876964254
325	1.876819083
326	1.876537564
327	1.876167204
328	1.875926522
329	1.875372568
330	1.875268873
331	1.875087758
332	1.874862262
333	1.874573398
334	1.874297594
335	1.873729629
336	1.873628291
337	1.873230219
338	1.873024498
339	1.872823137
340	1.872570676
341	1.872106558
342	1.871859418
343	1.871554274
344	1.871339647
345	1.871133929
346	1.870973531
347	1.870900519
348	1.870712357
349	1.870297252
350	1.870068313
351	1.869921427
352	1.869772451
353	1.869459809
354	1.869408952
355	1.869228807
356	1.869081571
357	1.868625236
358	1.868415351
359	1.868163499
360	1.868020086
361	1.867972408
362	1.867781382
363	1.867445188
364	1.867084317
365	1.866868871
366	1.866694353
367	1.866362156
368	1.866190411
369	1.86597052
370	1.865928033
371	1.865546918
372	1.865087448
373	1.86487772
374	1.864605097
375	1.864312295
376	1.863876158
377	1.863414129
378	1.863210447
379	1.862942681
380	1.862461619
381	1.861947784
382	1.861605673
383	1.861487635
384	1.861286735
385	1.861089627
386	1.860901191
387	1.860622552
388	1.860009934
389	1.859820649
390	1.859517046
391	1.859244954
392	1.859034341
393	1.85881471
394	1.858805659
395	1.858474487
396	1.858242171
397	1.858076673
398	1.857721808
399	1.857574847
400	1.857424016
401	1.857080256
402	1.856613475
403	1.85644359
404	1.856185407
405	1.855777485
406	1.855429497
407	1.855422028
408	1.8552582
409	1.854725319
410	1.85436931
411	1.8542769
412	1.85421463
413	1.853958592
414	1.853850278
415	1.853586602
416	1.853439089
417	1.853258338
418	1.853108804
419	1.852805564
420	1.852577565
421	1.852177539
422	1.851855813
423	1.851438278
424	1.851092123
425	1.850777678
426	1.850506924
427	1.850192724
428	1.849856555
429	1.849574446
430	1.849315237
431	1.848943802
432	1.84884613
433	1.848452654
434	1.848042336
435	1.848019792
436	1.847611963
437	1.847297066
438	1.847215655
439	1.84670446
440	1.846459376
441	1.846191813
442	1.845956674
443	1.845760331
444	1.845649992
445	1.845125718
446	1.844966322
447	1.844831878
448	1.844809667
449	1.844784723
450	1.844545406
451	1.844398931
452	1.844370755
453	1.844350977
454	1.844270564
455	1.843838765
456	1.843623335
457	1.843448341
458	1.843314203
459	1.843035513
460	1.842716043
461	1.842472195
462	1.842277029
463	1.842057991
464	1.841730194
465	1.841236274
466	1.840964177
467	1.840726925
468	1.840300963
469	1.840039319
470	1.839759918
471	1.839642554
472	1.839313082
473	1.839241058
474	1.838967948
475	1.838777283
476	1.838545222
477	1.838192781
478	1.837928704
479	1.837611872
480	1.837365842
481	1.836936957
482	1.836547495
483	1.836309055
484	1.836110399
485	1.835811504
486	1.83567009
487	1.835443792
488	1.835197442
489	1.834892251
490	1.834680192
491	1.834486432
492	1.834118985
493	1.833848252
494	1.833508337
495	1.833140206
496	1.832766626
497	1.832460972
498	1.832269359
499	1.832046011
500	1.83185597
501	1.831563136
502	1.831526198
503	1.831435818
504	1.831402449
505	1.831084835
506	1.830920386
507	1.830683439
508	1.830382099
509	1.830158837
510	1.830020339
511	1.829556714
512	1.829301449
513	1.829281981
514	1.828994463
515	1.828609251
516	1.828211459
517	1.828049213
518	1.827784046
519	1.827293976
520	1.826967397
521	1.826757768
522	1.826470652
523	1.826458125
524	1.82629933
525	1.826228978
526	1.825964027
527	1.825778261
528	1.825489245
529	1.825216072
530	1.824994505
531	1.824683477
532	1.824331956
533	1.824314836
534	1.823789257
535	1.823654198
536	1.823414614
537	1.82306471
538	1.822599323
539	1.822534115
540	1.822500189
541	1.822309649
542	1.822242095
543	1.821953768
544	1.82159734
545	1.821569802
546	1.821425611
547	1.821252982
548	1.820939998
549	1.820810104
550	1.820579375
551	1.820345678
552	1.820108018
553	1.820041489
554	1.819948562
555	1.819793943
556	1.819419097
557	1.819250155
558	1.819054555
559	1.81894903
560	1.81866836
561	1.81836476
562	1.81820541
563	1.817920939
564	1.817805862
565	1.817415259
566	1.817063622
567	1.816689884
568	1.816559973
569	1.816479005
570	1.816271988
571	1.816015082
572	1.815853395
573	1.815643231
574	1.815431734
575	1.815300792
576	1.814990696
577	1.814737108
578	1.81427365
579	1.814248036
580	1.813936118
581	1.813735634
582	1.81350298
583	1.813331287
584	1.813182352
585	1.812933876
586	1.812876925
587	1.812714672
588	1.812490253
589	1.812345938
590	1.812130159
591	1.812118264
592	1.811957686
593	1.811507568
594	1.811261917
595	1.81096804
596	1.810957345
597	1.810672027
598	1.810324802
599	1.810151858
600	1.810076182
601	1.809718022
602	1.809499779
603	1.809260984
604	1.809064841
605	1.808677644
606	1.808273121
607	1.808042703
608	1.807602296
609	1.807457245
610	1.807046996
611	1.806763264
612	1.806573391
613	1.806370084
614	1.806048593
615	1.805857479
616	1.805705217
617	1.805589855
618	1.805292329
619	1.804852136
620	1.80464554
621	1.804389632
622	1.804232574
623	1.803903973
624	1.803743641
625	1.803470458
626	1.803403615
627	1.803287427
628	1.803103724
629	1.802851825
630	1.802518364
631	1.802117391
632	1.801826707
633	1.801620229
634	1.801305106
635	1.801056338
636	1.80073212
637	1.800509324
638	1.800393789
639	1.800277788
640	1.800082452
641	1.799820077
642	1.799642851
643	1.799427468
644	1.799150589
645	1.798660295
646	1.798506404
647	1.798330529
648	1.79803987
649	1.797844014
650	1.797428509
651	1.797254584
652	1.796919798
653	1.796723937
654	1.796671112
655	1.796463993
656	1.796237606
657	1.795921726
658	1.795711967
659	1.795577638
660	1.795328068
661	1.79505395
662	1.794789623
663	1.794481732
664	1.794194219
665	1.794089546
666	1.793787838
667	1.793552375
668	1.793273899
669	1.792980936
670	1.792760182
671	1.792504787
672	1.792110459
673	1.791839727
674	1.791655185
675	1.791431456
676	1.791224617
677	1.790907276
678	1.790816328
679	1.7905736
680	1.790249255
681	1.790237772
682	1.790226975
683	1.789819569
684	1.789527474
685	1.78933217
686	1.789114609
687	1.788887479
688	1.788704878
689	1.788389129
690	1.78838401
691	1.788094157
692	1.788090941
693	1.787883337
694	1.787878804
695	1.787873998
696	1.787789587
697	1.787786974
698	1.787719211
699	1.787505872
700	1.78731817
701	1.787065553
702	1.786928736
703	1.786628057
704	1.786525262
705	1.786374984
706	1.786118141
707	1.785885455
708	1.785701194
709	1.785427559
710	1.785133766
711	1.785025947
712	1.784957269
713	1.784948427
714	1.784940113
715	1.7848425
716	1.784676844
717	1.784395323
718	1.7841548
719	1.783810259
720	1.78351234
721	1.783175014
722	1.782881381
723	1.782604786
724	1.782284013
725	1.781937199
726	1.781641686
727	1.781393115
728	1.781390079
729	1.78114312
730	1.7811403
731	1.78113775
732	1.780685276
733	1.78042052
734	1.780227311
735	1.780075222
736	1.779883795
737	1.779496006
738	1.779421892
739	1.779337064
740	1.779121369
741	1.778866289
742	1.778579121
743	1.778247721
744	1.777990343
745	1.77788973
746	1.777812488
747	1.777635068
748	1.777468993
749	1.777309599
750	1.777028137
751	1.776915824
752	1.776913071
753	1.776736255
754	1.776389225
755	1.77614188
756	1.775927089
757	1.775796672
758	1.775575993
759	1.775339889
760	1.775114096
761	1.774865544
762	1.77459018
763	1.774372774
764	1.774370466
765	1.774146905
766	1.774142697
767	1.774140463
768	1.774137979
769	1.774133988
770	1.773902053
771	1.773899745
772	1.773756309
773	1.773565171
774	1.773409544
775	1.773221123
776	1.772967148
777	1.772707461
778	1.772601709
779	1.772532061
780	1.772213448
781	1.772044261
782	1.771986285
783	1.771723356
784	1.771520491
785	1.771397398
786	1.771041368
787	1.770781426
788	1.770583698
789	1.770279421
790	1.770016509
791	1.769853504
792	1.769530658
793	1.769190882
794	1.768894882
795	1.768819953
796	1.768727387
797	1.76857464
798	1.768333678
799	1.768010232
800	1.767839769
801	1.767703972
802	1.767489863
803	1.767316523
804	1.767193039
805	1.766857486
806	1.766746177
807	1.766695205
808	1.766469496
809	1.766218453
810	1.766072451
811	1.765904332
812	1.7656889
813	1.765473269
814	1.765217686
815	1.764995658
816	1.764727782
817	1.764589766
818	1.764441432
819	1.764290945
820	1.763990991
821	1.763810686
822	1.763608771
823	1.763483417
824	1.763274063
825	1.763078095
826	1.76277054
827	1.762363856
828	1.762212292
829	1.761970124
830	1.761878918
831	1.761769671
832	1.761431899
833	1.761300463
834	1.76107889
835	1.760673477
836	1.760451431
837	1.760317298
838	1.760138697
839	1.75985105
840	1.759629319
841	1.759470078
842	1.75935525
843	1.759183579
844	1.758956221
845	1.758769156
846	1.758498423
847	1.758423868
848	1.758320364
849	1.758042988
850	1.757693811
851	1.757564303
852	1.757330335
853	1.757289093
854	1.757096982
855	1.756961261
856	1.75677554
857	1.756511382
858	1.756388996
859	1.756292183
860	1.756160993
861	1.755932645
862	1.755722676
863	1.755681743
864	1.755590149
865	1.75540948
866	1.755168451
867	1.754867369
868	1.754636191
869	1.754427898
870	1.754168994
871	1.753887966
872	1.753444385
873	1.753311539
874	1.753012379
875	1.752906301
876	1.752714389
877	1.752527637
878	1.752412686
879	1.752282829
880	1.751994308
881	1.751906658
882	1.75168049
883	1.751578415
884	1.751428614
885	1.751174587
886	1.751043836
887	1.75060881
888	1.750488258
889	1.750245026
890	1.750106114
891	1.750013828
892	1.749910126
893	1.749716834
894	1.749699796
895	1.749357609
896	1.749295867
897	1.748920445
898	1.748655211
899	1.748267895
900	1.748142167
901	1.747834442
902	1.747594165
903	1.747416562
904	1.747241918
905	1.746977251
906	1.746696061
907	1.74646107
908	1.746290617
909	1.746245158
910	1.746042093
911	1.745925324
912	1.7455998
913	1.745375625
914	1.745355052
915	1.745086203
916	1.744889564
917	1.744726945
918	1.744500808
919	1.744125447
920	1.743907742
921	1.743597674
922	1.743404653
923	1.743154507
924	1.742872319
925	1.742645577
926	1.742545963
927	1.742289555
928	1.742088353
929	1.741995425
930	1.741785755
931	1.74166001
932	1.741449063
933	1.741257092
934	1.741058395
935	1.740779168
936	1.740539177
937	1.740327006
938	1.740159912
939	1.74013664
940	1.739953444
941	1.739946649
942	1.739758321
943	1.739400066
944	1.739167481
945	1.7389497
946	1.738583734
947	1.738491898
948	1.738395818
949	1.738211885
950	1.737960538
951	1.737739117
952	1.737595824
953	1.737391257
954	1.737283835
955	1.737055239
956	1.736956787
957	1.73673331
958	1.736500015
959	1.736241272
960	1.735916056
961	1.735688331
962	1.735519049
963	1.735164014
964	1.735024543
965	1.734945554
966	1.734736378
967	1.734586973
968	1.734303196
969	1.734209578
970	1.733973714
971	1.733777371
972	1.733496211
973	1.733313411
974	1.733150252
975	1.732984496
976	1.732723395
977	1.732624469
978	1.732252389
979	1.731944734
980	1.731752118
981	1.731636107
982	1.731512315
983	1.731395264
984	1.731100844
985	1.730931925
986	1.730780063
987	1.730475672
988	1.730062912
989	1.729888204
990	1.729682911
991	1.729571028
992	1.729299155
993	1.729151402
994	1.729021797
995	1.728700226
996	1.728541409
997	1.728370404
998	1.728063592
999	1.727927357
